name	syct	mmin	mmax	cach	chmin	chmax	perf	estperf
SPERRY_1100/83	50	2000	32000	112	52	104	307	341
SPERRY_1100/84	50	4000	32000	112	52	104	397	360
SPERRY_1100/93	30	8000	64000	96	12	176	915	919
SPERRY_1100/94	30	8000	64000	128	12	176	1150	978
SPERRY_80/3	180	262	4000	0	1	3	12	24
SPERRY_80/4	180	512	4000	0	1	3	14	24
SPERRY_80/5	180	262	4000	0	1	3	18	24
SPERRY_80/6	180	512	4000	0	1	3	21	24
SPERRY_80/8	124	1000	8000	0	1	8	42	37
SPERRY_90/80_MODEL_3	98	1000	8000	32	2	8	46	50
STRATUS_32	125	2000	8000	0	2	14	52	41
WANG_VS10	480	512	8000	32	0	0	67	47
WANG_VS_90	480	1000	4000	0	0	0	45	25
